d.Road,d.River
0.116337981,0.015849798
0.081756116,0.012282445
0.070559001,0.015527358
0.074697737,0.01402947
0.082057447,0.009506667
0.090610047,0.005611762
0.132245884,0.032081435
0.146728472,0.037355553
0.153848934,0.046090396
0.154232534,0.053142595
0.162358074,0.043806246
0.15764272,0.047169403
0.169136312,0.045181168
0.181437069,0.039869346
0.194767228,0.031385571
0.205888204,0.030748193
0.066436245,0.020506097
0.074881257,0.024369425
0.083906225,0.029898867
0.092470442,0.038181438
0.096429442,0.032565455
0.10476667,0.023346782
0.111728193,0.016554623
0.114830611,0.015201827
0.124179343,0.008463385
0.129828214,0.00207418