"Survey","Estacao","Y","X","start","end","X7.28.2020","X7.29.2020","X7.30.2020","X7.31.2020","X8.1.2020","X8.2.2020","X8.3.2020","X8.4.2020","X8.5.2020","X8.6.2020","X8.7.2020","X8.8.2020","X8.9.2020","X8.10.2020","X8.11.2020","X8.12.2020","X8.13.2020","X8.14.2020","X8.15.2020","X8.16.2020","X8.17.2020","X8.18.2020","X8.19.2020","X8.20.2020","X8.21.2020","X8.22.2020","X8.23.2020","X8.24.2020","X8.25.2020","X8.26.2020","X8.27.2020","X8.28.2020","X8.29.2020","X8.30.2020","X8.31.2020","X9.1.2020","X9.2.2020","X9.3.2020","X9.4.2020","X9.5.2020","X9.6.2020","X9.7.2020","X9.8.2020","X9.9.2020","X9.10.2020","X9.11.2020","X9.12.2020","X9.13.2020","X9.14.2020","X9.15.2020","X9.16.2020"
"PEC","PEC01",-13.328052,-61.957745,"28/07/2020","13/09/2020",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"PEC","PEC02",-13.336015,-61.976232,"28/07/2020","13/09/2020",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"PEC","PEC03",-13.400532,-61.874239,"29/07/2020","16/09/2020",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PEC","PEC04",-13.398672,-61.892351,"29/07/2020","16/09/2020",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PEC","PEC05",-13.420222,-61.886192,"29/07/2020","16/09/2020",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PEC","PEC06",-13.423454,-61.908666,"29/07/2020","16/09/2020",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PEC","PEC07",-13.477111,-61.836568,"30/07/2020","14/09/2020",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"PEC","PEC08",-13.494269,-61.839595,"30/07/2020","14/09/2020",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"PEC","PEC09",-13.480659,-61.861692,"30/07/2020","14/09/2020",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"PEC","PEC10",-13.50243,-61.863907,"30/07/2020","14/09/2020",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"PEC","PEC11",-13.304233,-62.020189,"31/07/2020","15/09/2020",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"PEC","PEC12",-13.322405,-62.015363,"31/07/2020","16/09/2020",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PEC","PEC13",-13.337222,-61.999239,"31/07/2020","13/09/2020",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"PEC","PEC14",-13.357587,-61.988522,"31/07/2020","15/09/2020",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"PEC","PEC15",-13.373448,-61.952899,"31/07/2020","15/09/2020",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"PEC","PEC16",-13.383149,-61.914761,"31/07/2020","15/09/2020",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"PEC","PEC17",-13.354292,-61.943432,"1/8/2020","15/09/2020",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"PEC","PEC18",-13.368613,-61.902123,"1/8/2020","15/09/2020",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"PEC","PEC19",-13.431714,-61.854246,"2/8/2020","14/09/2020",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"PEC","PEC20",-13.438751,-61.878433,"2/8/2020","14/09/2020",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"PEC","PEC21",-13.245876,-62.09523,"2/8/2020","15/09/2020",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"PEC","PEC22",-13.277738,-62.072257,"2/8/2020","15/09/2020",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"PEC","PEC36ex",-13.15889,-61.630611,"7/8/2020","22/08/2020",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PEC","PEC44ex",-13.097769,-61.518375,"8/8/2020","13/09/2020",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"PEC","PEC50",-13.186042,-61.25645,"9/8/2020","11/9/2020",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"PEC","PEC56",-13.143332,-61.371818,"10/8/2020","11/9/2020",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"PEC","PEC59",-13.122527,-61.628758,"11/8/2020","12/9/2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"PEC","PEC60",-13.109039,-61.628237,"11/8/2020","12/9/2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"PEC","PEC61",-13.165451,-61.673907,"11/8/2020","12/9/2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"PEC","PEC66",-13.208754,-61.739573,"12/8/2020","12/9/2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"PEC","PEC69",-13.194477,-61.698435,"13/08/2020","12/9/2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"PEC","PEC76",-13.121262,-61.45486,"15/08/2020","11/9/2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
