"Survey","Estacao","Y","X","start","end","X10.29.2020","X10.30.2020","X10.31.2020","X11.1.2020","X11.2.2020","X11.3.2020","X11.4.2020","X11.5.2020","X11.6.2020","X11.7.2020","X11.8.2020","X11.9.2020","X11.10.2020","X11.11.2020","X11.12.2020","X11.13.2020","X11.14.2020","X11.15.2020","X11.16.2020","X11.17.2020","X11.18.2020","X11.19.2020","X11.20.2020","X11.21.2020","X11.22.2020","X11.23.2020","X11.24.2020","X11.25.2020","X11.26.2020","X11.27.2020","X11.28.2020","X11.29.2020","X11.30.2020","X12.1.2020","X12.2.2020","X12.3.2020","X12.4.2020","X12.5.2020","X12.6.2020","X12.7.2020","X12.8.2020","X12.9.2020","X12.10.2020","X12.11.2020","X12.12.2020","X12.13.2020","X12.14.2020"
"GBR","RBG00",-12.549831,-63.435928,"5/11/2020","9/12/2020",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"GBR","RBG10",-12.376269,-63.468224,"1/11/2020","11/12/2020",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"GBR","RBG12",-12.394347,-63.458255,"1/11/2020","11/12/2020",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"GBR","RBG21",-12.303438,-63.346578,"31/10/2020","6/12/2020",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"GBR","RBG22",-12.29426,-63.315296,"29/10/2020","6/12/2020",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"GBR","RBG23",-12.308763,-63.321249,"29/10/2020","8/12/2020",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"GBR","RBG26",-12.334778,-63.325406,"31/10/2020","8/12/2020",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"GBR","RBG24",-12.322012,-63.314734,"29/10/2020","9/12/2020",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"GBR","RBG25",-12.332126,-63.297824,"29/10/2020","09//12/2020",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"GBR","RBG27",-12.346984,-63.313226,"31/10/2020","8/12/2020",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"GBR","RBG28",-12.347702,-63.287797,"29/10/2020","9/12/2020",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"GBR","RBG29",-12.314524,-63.336543,"31/10/2020","5/12/2020",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"GBR","RBG30",-12.301138,-63.244523,"30/10/2020","7/12/2020",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"GBR","RBG31",-12.317907,-63.236609,"30/10/2020","7/12/2020",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"GBR","RBG32",-12.335155,-63.239459,"30/10/2020","7/12/2020",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"GBR","RBG33",-12.334878,-63.220402,"30/10/2020","7/12/2020",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"GBR","RBG34",-12.317431,-63.25571,"30/10/2020","7/12/2020",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"GBR","RBG35",-12.326922,-63.276976,"29/10/2020","5/12/2020",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"GBR","RBG36",-12.286028,-63.233666,"29/10/2020","5/12/2020",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"GBR","RBG37",-12.303103,-63.25502,"30/10/2020","5/12/2020",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"GBR","RBG38",-12.320746,-63.376997,"29/10/2020","4/12/2020",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"GBR","RBG39",-12.340336,-63.370823,"29/10/2020","10/12/2020",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"GBR","RBG40",-12.318994,-63.360404,"31/10/2020","4/12/2020",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"GBR","RBG41",-12.556786,-63.439165,"2/10/2020","9/12/2020",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"GBR","RBG42",-12.540374,-63.431624,"3/11/2020","9/12/2020",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"GBR","RBG43",-12.568537,-63.425028,"3/11/2020","7/12/2020",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"GBR","RBG44",-12.550222,-63.414319,"3/11/2020","6/12/2020",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"GBR","RBG45",-12.553224,-63.39196,"1/11/2020","6/12/2020",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"GBR","RBG46",-12.557167,-63.457458,"3/11/2020","7/12/2020",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"GBR","RBG47",-12.555819,-63.475403,"3/11/2020","7/12/2020",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"GBR","RBG48",-12.539097,-63.448927,"3/11/2020","15/11/2020",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GBR","RBG54",-12.538747,-63.399795,"4/11/2020","6/12/2020",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"GBR","RBG60",-12.568403,-63.21356,"5/11/2020","6/12/2020",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"GBR","RBG61",-12.568749,-63.232696,"6/11/2020","6/12/2020",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"GBR","RBG63",-12.570261,-63.249634,"5/11/2020","6/12/2020",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"GBR","RBG65",-12.55408,-63.24052,"5/11/2020","6/11/2020",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GBR","RBG66",-12.549829,-63.226998,"5/11/2020","6/12/2020",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"GBR","RBG67",-12.551489,-63.205205,"5/11/2020","7/12/2020",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"GBR","RBG70",-12.535981,-63.230252,"6/11/2020","7/12/2020",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"GBR","RBG75",-12.553764,-63.273438,"6/11/2020","6/12/2020",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"GBR","RBG80",-12.555822,-63.308208,"6/11/2020","6/12/2020",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"GBR","RBG81",-12.541601,-63.315,"6/11/2020","6/12/2020",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"GBR","RBG83",-12.56485,-63.264215,"6/11/2020","6/12/2020",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"GBR","RBG84",-12.632989,-63.397738,"7/11/2020","8/12/2020",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
